ref	start	stop	domain	dScore	rDomain	dMatch	phylum	pScore	rPhylum	pMatch	class	cScore	rClass	cMatch	order	oScore	rOrder	oMatch	family	fScore	rFamily	fMatch	genus	gScore	rGenus	gMatch
663872	937	1011	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	0.97	Bacillales	1	Staphylococcaceae	0.97	Bacillales	0	Staphylococcus	0.97	Staphylococcaceae	0
446864	513	587	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	1.0	Bacillales	1	Staphylococcaceae	1.0	Bacillales	0	Staphylococcus	1.0	Staphylococcaceae	0
109073	1022	1096	Bacteria	1.0	Bacteria	1	Actinobacteria	0.92	Actinobacteria	1	Actinobacteria	0.92	Actinobacteria	1	Actinomycetales	0.92	Actinomycetales	1	Thermomonosporaceae	0.73	Actinomycetales	0	Actinomadura	0.73	Actinosynnemataceae	0
2132243	665	739	Bacteria	1.0	Bacteria	1	Deinococcus-Thermus	0.24	Planctomycetes	0	Deinococci	0.24	vadinHA49	0	Thermales	0.24	PeHg47	0	Thermaceae	0.24	PeHg47	0	Vulcanithermus	0.24	NA	NA	339854	340	414	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	0.99	Gammaproteobacteria	1	Oceanospirillales	0.67	Oceanospirillales	1	Halomonadaceae	0.5	Oceanospirillales	0	Zymobacter	0.25	Halomonadaceae	0
848723	898	972	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.99	Bacteroidetes	1	Bacteroidia	0.69	Bacteroidia	1	Bacteroidales	0.69	Bacteroidales	1	Prevotellaceae	0.55	Bacteroidales	0	Prevotella	0.55	Bacteroidaceae	0
159674	1057	1131	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.5	Bacteroidetes	1	Sphingobacteria	0.42	Sphingobacteriia	0	Sphingobacteriales	0.42	Sphingobacteriales	1	Chitinophagaceae	0.3	Sphingobacteriales	0	Balneola	0.29	NA	NA	4384348	490	564	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinomycetales	1.0	Actinomycetales	1	Pseudonocardiaceae	0.93	Actinomycetales	0	Streptoalloteichus	0.64	NA	NA	427674	1124	1198	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	0.97	Betaproteobacteria	1	Burkholderiales	0.97	Burkholderiales	1	Comamonadaceae	0.9	Burkholderiales	0	Acidovorax	0.85	Comamonadaceae	0
142193	1249	1323	Bacteria	0.97	Bacteria	1	Chloroflexi	0.35	Chloroflexi	1	Anaerolineae	0.27	Anaerolineae	1	Anaerolineales	0.27	envOPS12	0	Anaerolineaceae	0.27	envOPS12	0	Bellilinea	0.21	NA	NA	935725	486	560	Bacteria	1.0	Bacteria	1	Firmicutes	0.99	Firmicutes	1	Bacilli	0.99	Bacilli	1	Bacillales	0.98	Bacillales	1	Staphylococcaceae	0.96	Bacillales	0	Staphylococcus	0.96	Staphylococcaceae	0
388266	1130	1204	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.98	Bacteroidetes	1	Flavobacteria	0.98	Flavobacteriia	0	Flavobacteriales	0.98	Flavobacteriales	1	Flavobacteriaceae	0.98	Flavobacteriales	0	Chryseobacterium	0.71	[Weeksellaceae]	0
846895	998	1072	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.97	Bacteroidetes	1	Bacteroidia	0.96	Bacteroidia	1	Bacteroidales	0.96	Bacteroidales	1	Prevotellaceae	0.93	Bacteroidales	0	Prevotella	0.93	Prevotellaceae	0
4430545	1133	1207	Bacteria	1.0	Bacteria	1	Fusobacteria	0.91	Fusobacteria	1	Fusobacteria	0.91	Fusobacteriia	0	Fusobacteriales	0.91	Fusobacteriales	1	Fusobacteriaceae	0.9	Fusobacteriales	0	Fusobacterium	0.9	Fusobacteriaceae	0
521771	579	653	Bacteria	0.99	Bacteria	1	Bacteroidetes	0.67	Bacteroidetes	1	Bacteroidia	0.67	Bacteroidia	1	Bacteroidales	0.67	Bacteroidales	1	Prevotellaceae	0.66	Bacteroidales	0	Prevotella	0.55	Prevotellaceae	0
959708	152	226	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinomycetales	1.0	Actinomycetales	1	Micrococcaceae	1.0	Actinomycetales	0	Rothia	1.0	Micrococcaceae	0
4451521	1378	1452	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	1.0	Gammaproteobacteria	1	Enterobacteriales	0.99	Enterobacteriales	1	Enterobacteriaceae	0.99	Enterobacteriales	0	Yersinia	0.63	Enterobacteriaceae	0
4431196	1123	1197	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.48	Bacteroidetes	1	Sphingobacteria	0.48	[Saprospirae]	0	Sphingobacteriales	0.48	[Saprospirales]	0	Saprospiraceae	0.35	[Saprospirales]	0	Lewinella	0.29	Saprospiraceae	0
729856	1081	1155	Bacteria	1.0	Bacteria	1	Proteobacteria	0.98	Proteobacteria	1	Betaproteobacteria	0.97	Betaproteobacteria	1	Burkholderiales	0.97	Burkholderiales	1	Burkholderiaceae	0.97	Burkholderiales	0	Polynucleobacter	0.87	Oxalobacteraceae	0
338300	1230	1304	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.96	Bacteroidetes	1	Bacteroidia	0.95	Bacteroidia	1	Bacteroidales	0.95	Bacteroidales	1	Bacteroidaceae	0.91	Bacteroidales	0	Bacteroides	0.91	Bacteroidaceae	0
4320009	842	916	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.99	Bacteroidetes	1	Bacteroidia	0.94	Bacteroidia	1	Bacteroidales	0.94	Bacteroidales	1	Prevotellaceae	0.76	Bacteroidales	0	Prevotella	0.59	Prevotellaceae	0
1011418	208	282	Bacteria	1.0	Bacteria	1	Proteobacteria	0.91	Proteobacteria	1	Betaproteobacteria	0.78	Betaproteobacteria	1	Neisseriales	0.23	Neisseriales	1	Neisseriaceae	0.23	Neisseriales	0	Microvirgula	0.07	Neisseriaceae	0
4361147	529	603	Bacteria	1.0	Bacteria	1	Proteobacteria	0.96	Proteobacteria	1	Alphaproteobacteria	0.93	Alphaproteobacteria	1	Sphingomonadales	0.76	Sphingomonadales	1	Sphingomonadaceae	0.75	Sphingomonadales	0	Sphingomonas	0.59	Sphingomonadaceae	0
832213	393	467	Bacteria	1.0	Bacteria	1	Fusobacteria	1.0	Fusobacteria	1	Fusobacteria	1.0	Fusobacteriia	0	Fusobacteriales	1.0	Fusobacteriales	1	Fusobacteriaceae	1.0	Fusobacteriales	0	Cetobacterium	0.89	Fusobacteriaceae	0
4477441	993	1067	Archaea	0.28	Archaea	1	Euryarchaeota	0.24	Euryarchaeota	1	Archaeoglobi	0.05	Thermoplasmata	0	Archaeoglobales	0.05	E2	0	Archaeoglobaceae	0.05	E2	0	Ferroglobus	0.05	Marine	0
444114	485	559	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinomycetales	1.0	Actinomycetales	1	Corynebacteriaceae	0.6	Actinomycetales	0	Corynebacterium	0.6	Corynebacteriaceae	0
808025	1000	1074	Bacteria	1.0	Bacteria	1	Firmicutes	0.87	Firmicutes	1	Clostridia	0.71	Clostridia	1	Thermoanaerobacterales	0.4	Clostridiales	0	Thermoanaerobacteraceae	0.4	Clostridiales	0	Moorella	0.37	Ruminococcaceae	0
844765	552	626	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	1.0	Gammaproteobacteria	1	Oceanospirillales	1.0	Oceanospirillales	1	Halomonadaceae	1.0	Oceanospirillales	0	Halomonas	1.0	Halomonadaceae	0
431510	1262	1336	Bacteria	1.0	Bacteria	1	Actinobacteria	0.99	Actinobacteria	1	Actinobacteria	0.99	Actinobacteria	1	Actinomycetales	0.99	Actinomycetales	1	Nocardioidaceae	0.59	Actinomycetales	0	Nocardioides	0.59	Corynebacteriaceae	0
922346	445	519	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.97	Gemellales	0	Bacillales_Incertae Sedis XI	0.97	Gemellales	0	Gemella	0.97	Gemellaceae	0
4301286	741	815	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	0.94	Betaproteobacteria	1	Burkholderiales	0.94	Burkholderiales	1	Comamonadaceae	0.83	Burkholderiales	0	Acidovorax	0.21	Comamonadaceae	0
2686586	1059	1133	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.98	Bacteroidetes	1	Bacteroidia	0.98	Bacteroidia	1	Bacteroidales	0.98	Bacteroidales	1	Bacteroidaceae	0.75	Bacteroidales	0	Bacteroides	0.75	Bacteroidaceae	0
2140524	542	616	Bacteria	0.99	Bacteria	1	Proteobacteria	0.65	Actinobacteria	0	Gammaproteobacteria	0.47	Acidimicrobiia	0	Gammaproteobacteria_incertae_sedis	0.1	Acidimicrobiales	0	Thioprofundum	0.08	Acidimicrobiales	0	Thioprofundum	0.08	wb1_P06	0
635930	590	664	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	1.0	Betaproteobacteria	1	Burkholderiales	0.99	Burkholderiales	1	Burkholderiaceae	0.88	Burkholderiales	0	Ralstonia	0.86	Oxalobacteraceae	0
766162	1145	1219	Bacteria	1.0	Bacteria	1	Firmicutes	0.82	Firmicutes	1	Bacilli	0.26	Clostridia	0	Bacillales	0.23	Clostridiales	0	Thermoactinomycetaceae 1	0.19	Clostridiales	0	Shimazuella	0.19	Christensenellaceae	0
666473	970	1044	Bacteria	1.0	Bacteria	1	Firmicutes	0.99	Firmicutes	1	Bacilli	0.99	Bacilli	1	Bacillales	0.97	Bacillales	1	Bacillaceae 2	0.68	Bacillales	0	Sediminibacillus	0.67	Staphylococcaceae	0
423594	166	240	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinomycetales	1.0	Actinomycetales	1	Corynebacteriaceae	0.79	Actinomycetales	0	Corynebacterium	0.79	Corynebacteriaceae	0
554748	986	1060	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Proteobacteria	1	Alphaproteobacteria	0.99	Alphaproteobacteria	1	Rhizobiales	0.98	Rhizobiales	1	Phyllobacteriaceae	0.54	Rhizobiales	0	Phyllobacterium	0.5	Phyllobacteriaceae	0
332274	886	960	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	1.0	Betaproteobacteria	1	Burkholderiales	0.98	Burkholderiales	1	Burkholderiaceae	0.98	Burkholderiales	0	Cupriavidus	0.61	Oxalobacteraceae	0
641855	972	1046	Bacteria	0.99	Bacteria	1	Actinobacteria	0.95	Actinobacteria	1	Actinobacteria	0.95	Actinobacteria	1	Actinomycetales	0.94	Actinomycetales	1	Actinomycetaceae	0.88	Actinomycetales	0	Actinomyces	0.88	Actinomycetaceae	0
442414	1150	1224	Bacteria	0.99	Bacteria	1	Actinobacteria	0.85	Actinobacteria	1	Actinobacteria	0.85	Actinobacteria	1	Actinomycetales	0.76	Actinomycetales	1	Pseudonocardiaceae	0.22	Actinomycetales	0	Sciscionella	0.09	Corynebacteriaceae	0
729883	1268	1342	Bacteria	1.0	Bacteria	1	Proteobacteria	0.78	Proteobacteria	1	Gammaproteobacteria	0.63	Betaproteobacteria	0	Acidithiobacillales	0.49	Burkholderiales	0	Acidithiobacillaceae	0.49	Burkholderiales	0	Acidithiobacillus	0.49	Burkholderiaceae	0
1014306	334	408	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	0.99	Bacilli	1	Bacillales	0.98	Bacillales	1	Staphylococcaceae	0.93	Bacillales	0	Staphylococcus	0.93	Staphylococcaceae	0
794525	14	88	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	1.0	Bacillales	1	Staphylococcaceae	1.0	Bacillales	0	Staphylococcus	1.0	Staphylococcaceae	0
4454815	467	541	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	0.85	Betaproteobacteria	1	Burkholderiales	0.85	Burkholderiales	1	Oxalobacteraceae	0.58	Burkholderiales	0	Herbaspirillum	0.55	Comamonadaceae	0
4417260	669	743	Bacteria	1.0	Bacteria	1	Firmicutes	0.98	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.98	Bacillales	1	Bacillaceae 1	0.55	Bacillales	0	Geobacillus	0.55	Bacillaceae	0
224266	191	265	Bacteria	1.0	Bacteria	1	Firmicutes	0.04	Planctomycetes	0	Bacilli	0.04	Planctomycetia	0	Bacillales	0.04	Pirellulales	0	Pasteuriaceae	0.04	Pirellulales	0	Pasteuria	0.04	Pirellulaceae	0
453349	244	318	Bacteria	1.0	Bacteria	1	Actinobacteria	0.96	Actinobacteria	1	Actinobacteria	0.96	Actinobacteria	1	Actinomycetales	0.84	Actinomycetales	1	Propionibacteriaceae	0.36	Actinomycetales	0	Propionibacterium	0.36	Propionibacteriaceae	0
978637	811	885	Bacteria	0.98	Bacteria	1	Proteobacteria	0.87	Proteobacteria	1	Gammaproteobacteria	0.64	Gammaproteobacteria	1	Enterobacteriales	0.55	Enterobacteriales	1	Enterobacteriaceae	0.55	Enterobacteriales	0	Leminorella	0.03	Enterobacteriaceae	0
630673	360	434	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Lactobacillales	1.0	Lactobacillales	1	Streptococcaceae	0.93	Lactobacillales	0	Streptococcus	0.93	Streptococcaceae	0
381121	162	236	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	1.0	Betaproteobacteria	1	Burkholderiales	1.0	Burkholderiales	1	Comamonadaceae	1.0	Burkholderiales	0	Diaphorobacter	0.75	Comamonadaceae	0
